"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"GSE101705_assay_reprocess_hg38","Reprocessed RNA-seq data derived from GEO accession: GSE101705","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101705",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE101705_assay_reprocess_hg38.rda","GSE101705:assay_reprocess_hg38"
"GSE112104_assay_reprocess_hg38","Reprocessed RNA-seq data derived from GEO accession: GSE112104","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112104",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE112104_assay_reprocess_hg38.rda","GSE112104:assay_reprocess_hg38"
"GSE152218_assay_curated","Curated transcriptome data derived from GEO accession: GSE152218","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152218",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE152218_assay_curated.rda","GSE152218:assay_curated"
"GSE152218_assay_raw","Raw transcriptome data derived from GEO accession: GSE152218","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152218",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE152218_assay_raw.rda","GSE152218:assay_raw"
"GSE152218_column_data","Clinical information for samples derived from GEO accession: GSE152218","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152218",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE152218_column_data.rda","GSE152218:column_data"
"GSE152218_meta_data","Meta data information for samples derived from GEO accession: GSE152218","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152218",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","MIAME","Rda","curatedTBData/data/GSE152218_meta_data.rda","GSE152218:meta_data"
"GSE152218_row_data","Probe set information for samples for derived from GEO accession: GSE152218","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152218",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE152218_row_data.rda","GSE152218:row_data"
"GSE79362_assay_reprocess_hg38","Reprocessed RNA-seq data derived from GEO accession: GSE79362","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79362",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE79362_assay_reprocess_hg38.rda","GSE79362:assay_reprocess_hg38"
"GSE84076_assay_reprocess_hg38","Reprocessed RNA-seq data derived from GEO accession: GSE84076","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84076",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE84076_assay_reprocess_hg38.rda","GSE84076:assay_reprocess_hg38"
"GSE94438_assay_reprocess_hg38","Reprocessed RNA-seq data derived from GEO accession: GSE94438","3.18",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94438",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE94438_assay_reprocess_hg38.rda","GSE94438:assay_reprocess_hg38"
